"market","team","event","dk_odds","dk_prob","sim_prob","edge","ev","payout","dk_prob_pct","sim_prob_pct","edge_pct","ev_pct"
"To Reach The Semi Final","Canada","World Cup 2026","+1600",0.0588235294117647,0.032,-0.0268235294117647,-0.456,16,5.9,3.2,-2.7,-45.6
"To Reach The Semi Final","Austria","World Cup 2026","+1600",0.0588235294117647,0.022,-0.0368235294117647,-0.626,16,5.9,2.2,-3.7,-62.6
"To Reach The Semi Final","Senegal","World Cup 2026","+1800",0.0526315789473684,0.073,0.0203684210526316,0.387,18,5.3,7.3,2,38.7
"To Reach The Semi Final","Algeria","World Cup 2026","+2000",0.0476190476190476,0.005,-0.0426190476190476,-0.895,20,4.8,0.5,-4.3,-89.5
"To Reach The Semi Final","Czechia","World Cup 2026","+2500",0.0384615384615385,0.013,-0.0254615384615385,-0.662,25,3.8,1.3,-2.5,-66.2
"To Reach The Semi Final","Paraguay","World Cup 2026","+2500",0.0384615384615385,0.037,-0.00146153846153846,-0.0379999999999998,25,3.8,3.7,-0.1,-3.8
"To Reach The Semi Final","South Korea","World Cup 2026","+2800",0.0344827586206897,0.02,-0.0144827586206897,-0.42,28,3.4,2,-1.4,-42
"To Reach The Semi Final","Scotland","World Cup 2026","+2800",0.0344827586206897,0.022,-0.0124827586206897,-0.362,28,3.4,2.2,-1.2,-36.2
"To Reach The Semi Final","Ivory Coast","World Cup 2026","+2800",0.0344827586206897,0.004,-0.0304827586206897,-0.884,28,3.4,0.4,-3,-88.4
"To Reach The Semi Final","Bosnia and Herzegovina","World Cup 2026","+3000",0.032258064516129,0.001,-0.031258064516129,-0.969,30,3.2,0.1,-3.1,-96.9
"To Reach The Semi Final","Ghana","World Cup 2026","+3000",0.032258064516129,0,-0.032258064516129,-1,30,3.2,0,-3.2,-100
"To Reach The Semi Final","Egypt","World Cup 2026","+3000",0.032258064516129,0.005,-0.027258064516129,-0.845,30,3.2,0.5,-2.7,-84.5
"To Reach The Semi Final","DR Congo","World Cup 2026","+4000",0.024390243902439,0.001,-0.023390243902439,-0.959,40,2.4,0.1,-2.3,-95.9
"To Reach The Semi Final","Australia","World Cup 2026","+6500",0.0151515151515152,0.017,0.00184848484848485,0.122,65,1.5,1.7,0.2,12.2
"To Reach The Semi Final","Tunisia","World Cup 2026","+8000",0.0123456790123457,0.001,-0.0113456790123457,-0.919,80,1.2,0.1,-1.1,-91.9
"To Reach The Semi Final","Saudi Arabia","World Cup 2026","+8000",0.0123456790123457,0,-0.0123456790123457,-1,80,1.2,0,-1.2,-100
"To Reach The Semi Final","Iraq","World Cup 2026","+10000",0.0099009900990099,0,-0.0099009900990099,-1,100,1,0,-1,-100
"To Reach The Semi Final","Uzbekistan","World Cup 2026","+10000",0.0099009900990099,0.006,-0.0039009900990099,-0.394,100,1,0.6,-0.4,-39.4
"To Reach The Semi Final","South Africa","World Cup 2026","+10000",0.0099009900990099,0.001,-0.0089009900990099,-0.899,100,1,0.1,-0.9,-89.9
"To Reach The Semi Final","Panama","World Cup 2026","+10000",0.0099009900990099,0.008,-0.0019009900990099,-0.192,100,1,0.8,-0.2,-19.2
"To Reach The Semi Final","Qatar","World Cup 2026","+15000",0.00662251655629139,0,-0.00662251655629139,-1,150,0.7,0,-0.7,-100
"To Reach The Semi Final","New Zealand","World Cup 2026","+25000",0.00398406374501992,0,-0.00398406374501992,-1,250,0.4,0,-0.4,-100
"To Reach The Semi Final","Jordan","World Cup 2026","+25000",0.00398406374501992,0.002,-0.00198406374501992,-0.498,250,0.4,0.2,-0.2,-49.8
"To Reach The Semi Final","Cape Verde","World Cup 2026","+25000",0.00398406374501992,0,-0.00398406374501992,-1,250,0.4,0,-0.4,-100
"To Reach The Semi Final","Haiti","World Cup 2026","+50000",0.00199600798403194,0,-0.00199600798403194,-1,500,0.2,0,-0.2,-100
"To Reach The Semi Final","Curaçao","World Cup 2026","+50000",0.00199600798403194,0,-0.00199600798403194,-1,500,0.2,0,-0.2,-100
"To Reach The Quarter Final","Spain","World Cup 2026","−160",0.617283950617284,0.679,0.0617160493827161,0.0999800000000001,0.62,61.7,67.9,6.2,10
"To Reach The Quarter Final","England","World Cup 2026","−145",0.595238095238095,0.479,-0.116238095238095,-0.19528,0.68,59.5,47.9,-11.6,-19.5
"To Reach The Quarter Final","France","World Cup 2026","−135",0.574712643678161,0.623,0.0482873563218391,0.08402,0.74,57.5,62.3,4.8,8.4
"To Reach The Quarter Final","Brazil","World Cup 2026","−120",0.546448087431694,0.379,-0.167448087431694,-0.30643,0.83,54.6,37.9,-16.7,-30.6
"To Reach The Quarter Final","Argentina","World Cup 2026","−110",0.526315789473684,0.636,0.109684210526316,0.2084,0.9,52.6,63.6,11,20.8
"To Reach The Quarter Final","Portugal","World Cup 2026","+100",0.5,0.369,-0.131,-0.262,1,50,36.9,-13.1,-26.2
"To Reach The Quarter Final","Germany","World Cup 2026","+130",0.434782608695652,0.256,-0.178782608695652,-0.4112,1.3,43.5,25.6,-17.9,-41.1
"To Reach The Quarter Final","Belgium","World Cup 2026","+150",0.4,0.275,-0.125,-0.3125,1.5,40,27.5,-12.5,-31.2
"To Reach The Quarter Final","Netherlands","World Cup 2026","+180",0.357142857142857,0.402,0.0448571428571429,0.1256,1.8,35.7,40.2,4.5,12.6
"To Reach The Quarter Final","Norway","World Cup 2026","+260",0.277777777777778,0.261,-0.0167777777777778,-0.0603999999999999,2.6,27.8,26.1,-1.7,-6
"To Reach The Quarter Final","United States","World Cup 2026","+275",0.266666666666667,0.039,-0.227666666666667,-0.85375,2.75,26.7,3.9,-22.8,-85.4
"To Reach The Quarter Final","Switzerland","World Cup 2026","+275",0.266666666666667,0.31,0.0433333333333333,0.1625,2.75,26.7,31,4.3,16.3
"To Reach The Quarter Final","Colombia","World Cup 2026","+280",0.263157894736842,0.344,0.0808421052631579,0.3072,2.8,26.3,34.4,8.1,30.7
"To Reach The Quarter Final","Uruguay","World Cup 2026","+300",0.25,0.166,-0.084,-0.336,3,25,16.6,-8.4,-33.6
"To Reach The Quarter Final","Turkey","World Cup 2026","+300",0.25,0.32,0.07,0.28,3,25,32,7,28
"To Reach The Quarter Final","Morocco","World Cup 2026","+350",0.222222222222222,0.144,-0.0782222222222222,-0.352,3.5,22.2,14.4,-7.8,-35.2
"To Reach The Quarter Final","Mexico","World Cup 2026","+350",0.222222222222222,0.222,-0.000222222222222207,-0.001,3.5,22.2,22.2,0,-0.1
"To Reach The Quarter Final","Japan","World Cup 2026","+400",0.2,0.266,0.066,0.33,4,20,26.6,6.6,33
"To Reach The Quarter Final","Croatia","World Cup 2026","+400",0.2,0.241,0.041,0.205,4,20,24.1,4.1,20.5
"To Reach The Quarter Final","Canada","World Cup 2026","+450",0.181818181818182,0.162,-0.0198181818181818,-0.109,4.5,18.2,16.2,-2,-10.9
"To Reach The Quarter Final","Ecuador","World Cup 2026","+550",0.153846153846154,0.277,0.123153846153846,0.8005,5.5,15.4,27.7,12.3,80
"To Reach The Quarter Final","South Korea","World Cup 2026","+650",0.133333333333333,0.104,-0.0293333333333333,-0.22,6.5,13.3,10.4,-2.9,-22
"To Reach The Quarter Final","Senegal","World Cup 2026","+650",0.133333333333333,0.202,0.0686666666666667,0.515,6.5,13.3,20.2,6.9,51.5
"To Reach The Quarter Final","Sweden","World Cup 2026","+650",0.133333333333333,0.037,-0.0963333333333333,-0.7225,6.5,13.3,3.7,-9.6,-72.2
"To Reach The Quarter Final","Austria","World Cup 2026","+700",0.125,0.073,-0.052,-0.416,7,12.5,7.3,-5.2,-41.6
"To Reach The Quarter Final","Czechia","World Cup 2026","+750",0.117647058823529,0.083,-0.0346470588235294,-0.2945,7.5,11.8,8.3,-3.5,-29.4
"To Reach The Quarter Final","Scotland","World Cup 2026","+800",0.111111111111111,0.085,-0.0261111111111111,-0.235,8,11.1,8.5,-2.6,-23.5
"To Reach The Quarter Final","Paraguay","World Cup 2026","+800",0.111111111111111,0.153,0.0418888888888889,0.377,8,11.1,15.3,4.2,37.7
"To Reach The Quarter Final","Algeria","World Cup 2026","+800",0.111111111111111,0.03,-0.0811111111111111,-0.73,8,11.1,3,-8.1,-73
"To Reach The Quarter Final","Bosnia and Herzegovina","World Cup 2026","+850",0.105263157894737,0.021,-0.0842631578947368,-0.8005,8.5,10.5,2.1,-8.4,-80
"To Reach The Quarter Final","Egypt","World Cup 2026","+900",0.1,0.034,-0.066,-0.66,9,10,3.4,-6.6,-66
"To Reach The Quarter Final","Ivory Coast","World Cup 2026","+1000",0.0909090909090909,0.036,-0.0549090909090909,-0.604,10,9.1,3.6,-5.5,-60.4
"To Reach The Quarter Final","Ghana","World Cup 2026","+1200",0.0769230769230769,0,-0.0769230769230769,-1,12,7.7,0,-7.7,-100
"To Reach The Quarter Final","Australia","World Cup 2026","+1600",0.0588235294117647,0.083,0.0241764705882353,0.411,16,5.9,8.3,2.4,41.1
"To Reach The Quarter Final","DR Congo","World Cup 2026","+1600",0.0588235294117647,0.007,-0.0518235294117647,-0.881,16,5.9,0.7,-5.2,-88.1
"To Reach The Quarter Final","Tunisia","World Cup 2026","+2000",0.0476190476190476,0.008,-0.0396190476190476,-0.832,20,4.8,0.8,-4,-83.2
"To Reach The Quarter Final","South Africa","World Cup 2026","+2000",0.0476190476190476,0.005,-0.0426190476190476,-0.895,20,4.8,0.5,-4.3,-89.5
"To Reach The Quarter Final","Saudi Arabia","World Cup 2026","+2200",0.0434782608695652,0.003,-0.0404782608695652,-0.931,22,4.3,0.3,-4,-93.1
"To Reach The Quarter Final","Panama","World Cup 2026","+3000",0.032258064516129,0.044,0.011741935483871,0.364,30,3.2,4.4,1.2,36.4
"To Reach The Quarter Final","Uzbekistan","World Cup 2026","+3500",0.0277777777777778,0.025,-0.00277777777777777,-0.1,35,2.8,2.5,-0.3,-10
"To Reach The Quarter Final","Qatar","World Cup 2026","+3500",0.0277777777777778,0.001,-0.0267777777777778,-0.964,35,2.8,0.1,-2.7,-96.4
"To Reach The Quarter Final","New Zealand","World Cup 2026","+4000",0.024390243902439,0.005,-0.019390243902439,-0.795,40,2.4,0.5,-1.9,-79.5
"To Reach The Quarter Final","Jordan","World Cup 2026","+5000",0.0196078431372549,0.015,-0.0046078431372549,-0.235,50,2,1.5,-0.5,-23.5
"To Reach The Quarter Final","Cape Verde","World Cup 2026","+5000",0.0196078431372549,0.003,-0.0166078431372549,-0.847,50,2,0.3,-1.7,-84.7
"To Reach The Quarter Final","Iraq","World Cup 2026","+6500",0.0151515151515152,0.003,-0.0121515151515152,-0.802,65,1.5,0.3,-1.2,-80.2
"To Reach The Quarter Final","Haiti","World Cup 2026","+15000",0.00662251655629139,0.001,-0.00562251655629139,-0.849,150,0.7,0.1,-0.6,-84.9
"To Reach The Quarter Final","Curaçao","World Cup 2026","+15000",0.00662251655629139,0,-0.00662251655629139,-1,150,0.7,0,-0.7,-100
"To Qualify From Group","Mexico","World Cup 2026 – Group A","−750",0.884955752212389,0.954,0.0690442477876106,0.07802,0.13,88.5,95.4,6.9,7.8
"To Qualify From Group","Czechia","World Cup 2026 – Group A","−475",0.826446280991736,0.784,-0.0424462809917355,-0.05136,0.21,82.6,78.4,-4.2,-5.1
"To Qualify From Group","South Korea","World Cup 2026 – Group A","−330",0.769230769230769,0.833,0.0637692307692308,0.0829,0.3,76.9,83.3,6.4,8.3
